,0
0,0.2949283816440758
1,0.47636176633472144
2,0.41440932972657624
3,0.33977346453181667
4,0.26620519953487004
5,0.425143141985746
6,0.3386850487980979
7,0.32835287666952995
8,0.4084120582050194
9,0.23181831730288713
10,0.38412476979128596
11,0.43706443667502726
12,0.32296469443462994
13,0.3211801662747412
14,0.3246420570590823
15,0.30553624001716306
16,0.5228122714811358
17,0.2675218093165347
18,0.3704671132714391
19,0.2515324722312236
20,0.34248545822144133
21,0.27293020971697773
22,0.37017447888878363
23,0.3296154410137547
24,0.33223684759736466
25,0.3154575883332452
26,0.34230852241468207
27,0.3893556493262786
28,0.25798170448523955
29,0.376772335647
30,0.3480780651160274
31,0.3563560037986365
32,0.37355934316045514
33,0.3424063470793277
34,0.2744386654699222
35,0.3253822342318828
36,0.35877422789583674
37,0.2646538930429075
38,0.2716669480839449
39,0.3574187944677485
40,0.4370790996191056
41,0.412936511879667
42,0.4439854382008418
43,0.37665148577497803
44,0.28822633868089426
45,0.38213801759721844
46,0.40760128713404364
47,0.3196681762136929
48,0.404442261676574
49,0.37332905802811767
