Alpha,Average MSE
1e-05,0.4157905045834321
1.1513953993264481e-05,0.41450933950067553
1.3257113655901082e-05,0.4131164796182266
1.5264179671752335e-05,0.41159426280774325
1.757510624854793e-05,0.40994782152678055
2.0235896477251556e-05,0.40823986489453495
2.3299518105153718e-05,0.4064158538399867
2.6826957952797274e-05,0.4045113780221031
3.0888435964774785e-05,0.40255980578140205
3.5564803062231284e-05,0.40063307945700277
4.094915062380427e-05,0.39867020153832916
4.71486636345739e-05,0.3967410802449328
5.4286754393238594e-05,0.3949296589272159
6.250551925273976e-05,0.39329482384865627
7.196856730011514e-05,0.3919723801077199
8.286427728546843e-05,0.39091496126016384
9.540954763499944e-05,0.39020753965486493
0.00010985411419875583,0.38979916521615987
0.00012648552168552957,0.3898972337360366
0.00014563484775012445,0.390591516870165
0.00016768329368110083,0.39185327902647854
0.00019306977288832496,0.3937839006183626
0.00022229964825261955,0.39645206630627416
0.0002559547922699536,0.3993252479825936
0.00029470517025518097,0.4023094121694434
0.000339322177189533,0.405584534638621
0.0003906939937054617,0.40924833976890307
0.0004498432668969444,0.4128889172162086
0.0005179474679231213,0.4160663170791009
0.0005963623316594642,0.4193327527431877
0.0006866488450042998,0.42264704882346293
0.0007906043210907702,0.42591497809734236
0.0009102981779915217,0.4286906199660857
0.0010481131341546852,0.43114352420949764
0.0012067926406393288,0.4336831524436334
0.0013894954943731374,0.4366179978154049
0.0015998587196060573,0.4398439994145158
0.0018420699693267163,0.4433986740880923
0.0021209508879201904,0.44745807446941016
0.0024420530945486497,0.45154999052296096
0.002811768697974231,0.4555549378851926
0.0032374575428176433,0.4597840465434498
0.003727593720314938,0.4636933503780708
0.004291934260128779,0.4675798906449401
0.004941713361323833,0.471782611903071
0.005689866029018293,0.47606581903242146
0.006551285568595509,0.4805948165804663
0.007543120063354615,0.4856551151500235
0.00868511373751352,0.4914122461297222
0.01,0.4975922326910468
